node_id,x,y,highway
2433778874,-2.5857257,51.4604073,
1968413548,-2.5853622,51.4606892,
1968413578,-2.5856942,51.461245,
364165242,-2.585654,51.4618776,
3811627145,-2.5857532,51.4613235,
19871266,-2.585191,51.4612259,
3811627143,-2.5850493,51.4610633,
2433779947,-2.5854163,51.4615582,
2433779953,-2.5856669,51.4613481,
1968413567,-2.5851946,51.4610248,
364165239,-2.5854567,51.4616145,
5753086713,-2.5825756,51.460767,
10901402907,-2.5825685,51.4607695,
10901402911,-2.5827203,51.4607155,
5435157624,-2.5837396,51.460496,
2433764639,-2.584224,51.4611616,
13275305469,-2.5889891,51.464406,
5900430626,-2.5884316,51.4643216,
21257368,-2.5892327,51.4643495,
13275305468,-2.5887076,51.4639837,
1095623221,-2.5866497,51.4651683,
21591885,-2.5874363,51.4660458,
5906108611,-2.5864331,51.461957,
4795736877,-2.5885015,51.4627938,
21309748,-2.5898705,51.4632387,
4794218446,-2.5884995,51.463667,
21238592,-2.5880591,51.4594324,
3860908591,-2.5880821,51.459523,crossing
2179076283,-2.5871779,51.4595251,
25280228,-2.5882067,51.4598654,
2920948566,-2.5890621,51.45949,crossing
6226112849,-2.589472,51.4642876,
835468040,-2.5891008,51.4647515,
21309452,-2.5897288,51.464229,
6226112846,-2.5895387,51.4644561,
835468042,-2.5890508,51.4648277,
21309349,-2.5864293,51.4565357,
21309350,-2.5867816,51.4565355,
21309366,-2.5866786,51.4566238,
21309372,-2.5867821,51.4567406,
826648048,-2.5866044,51.4568002,
5822644363,-2.5863137,51.4569149,
5822644367,-2.5864323,51.4566871,
26466665,-2.5897435,51.4639924,
1080015188,-2.5904238,51.4639889,
12248092928,-2.5897726,51.4637318,
21309820,-2.5899541,51.4628554,
12248092926,-2.5895923,51.4637217,
21309822,-2.5900655,51.4628128,
5905199219,-2.5899555,51.4627464,
21309749,-2.5903385,51.4620041,traffic_signals
365559388,-2.5903977,51.4618964,
4654496419,-2.5903093,51.4620585,
6111856719,-2.5902615,51.4620235,
1247760876,-2.5907464,51.462077,
6225987537,-2.5906236,51.4615251,
3860964491,-2.5901855,51.462178,traffic_signals
4654496416,-2.5902622,51.4621929,traffic_signals
6111856716,-2.5901569,51.4620857,crossing
6111856710,-2.5901764,51.4620264,traffic_signals
21309750,-2.5911007,51.4608348,
1081318790,-2.5911735,51.4608522,crossing
6471108988,-2.5909562,51.4609962,
364165253,-2.591114,51.4605378,
1281318363,-2.5908559,51.4611385,crossing
374166815,-2.5914223,51.4609474,
