u,v,key,geometry
282238484,282238482,0,"LINESTRING (-2.584889 51.462828, -2.584877 51.462799, -2.584895 51.462733, -2.584924 51.462678, -2.584914 51.462624, -2.584515 51.462262, -2.584332 51.462092, -2.584274 51.461984)"
282238484,835468055,0,"LINESTRING (-2.584889 51.462828, -2.584735 51.462859, -2.584554 51.462923, -2.584398 51.463014, -2.584182 51.46288)"
104805,835468072,0,"LINESTRING (-2.582097 51.464666, -2.582132 51.464668, -2.58217 51.464655, -2.58229 51.464572)"
104805,835468062,0,"LINESTRING (-2.582097 51.464666, -2.582048 51.464655, -2.581592 51.464414)"
104805,3980721955,0,"LINESTRING (-2.582097 51.464666, -2.582102 51.464533, -2.582087 51.464454)"
104805,3329862694,0,"LINESTRING (-2.582097 51.464666, -2.582073 51.46473, -2.582068 51.464737, -2.582052 51.464757, -2.581484 51.465208)"
835468072,13191500418,0,"LINESTRING (-2.58229 51.464572, -2.582331 51.46454)"
835468072,104805,0,"LINESTRING (-2.58229 51.464572, -2.58217 51.464655, -2.582132 51.464668, -2.582097 51.464666)"
835468072,1236292762,0,"LINESTRING (-2.58229 51.464572, -2.582368 51.464624, -2.582451 51.464678, -2.582556 51.464748, -2.582661 51.464771)"
835468062,21591973,0,"LINESTRING (-2.581592 51.464414, -2.581512 51.464371)"
835468062,3980721935,0,"LINESTRING (-2.581592 51.464414, -2.581754 51.464306)"
835468062,104805,0,"LINESTRING (-2.581592 51.464414, -2.582048 51.464655, -2.582097 51.464666)"
3980721955,3980721932,0,"LINESTRING (-2.582087 51.464454, -2.582054 51.464302)"
3980721955,3980721951,0,"LINESTRING (-2.582087 51.464454, -2.582023 51.464453, -2.581987 51.464445, -2.58195 51.464432, -2.581916 51.464406, -2.581908 51.464388, -2.581908 51.46437, -2.581927 51.464334, -2.581961 51.464304)"
3980721955,3980721933,0,"LINESTRING (-2.582087 51.464454, -2.58214 51.464446, -2.582211 51.464424, -2.582249 51.4644, -2.582276 51.464373, -2.582296 51.464328, -2.582304 51.4643)"
3980721955,104805,0,"LINESTRING (-2.582087 51.464454, -2.582102 51.464533, -2.582097 51.464666)"
3329862694,835468076,0,"LINESTRING (-2.581484 51.465208, -2.581211 51.46543)"
3329862694,5846875198,0,"LINESTRING (-2.581484 51.465208, -2.581502 51.465424)"
3329862694,104805,0,"LINESTRING (-2.581484 51.465208, -2.582052 51.464757, -2.582068 51.464737, -2.582073 51.46473, -2.582097 51.464666)"
13191500418,835468072,0,"LINESTRING (-2.582331 51.46454, -2.58229 51.464572)"
13191500418,13191500416,0,"LINESTRING (-2.582331 51.46454, -2.58236 51.464302)"
13191500418,3980721934,0,"LINESTRING (-2.582331 51.46454, -2.582567 51.464381, -2.582665 51.46431)"
1236292762,6327862654,0,"LINESTRING (-2.582661 51.464771, -2.582796 51.464699)"
1236292762,835468067,0,"LINESTRING (-2.582661 51.464771, -2.582707 51.464806)"
1236292762,835468072,0,"LINESTRING (-2.582661 51.464771, -2.582556 51.464748, -2.582451 51.464678, -2.582368 51.464624, -2.58229 51.464572)"
21591973,462979246,0,"LINESTRING (-2.581512 51.464371, -2.580904 51.464062)"
21591973,835468062,0,"LINESTRING (-2.581512 51.464371, -2.581592 51.464414)"
21591973,835468076,0,"LINESTRING (-2.581512 51.464371, -2.579906 51.465569, -2.579922 51.465581, -2.579934 51.465588, -2.579948 51.465594, -2.579969 51.465597, -2.579991 51.465597, -2.580165 51.465573, -2.580457 51.465533, -2.580839 51.465448, -2.581035 51.465389, -2.581108 51.465395, -2.581211 51.46543)"
3980721935,835468062,0,"LINESTRING (-2.581754 51.464306, -2.581592 51.464414)"
3980721935,835468061,0,"LINESTRING (-2.581754 51.464306, -2.581946 51.464187)"
3980721935,3980721951,0,"LINESTRING (-2.581754 51.464306, -2.581961 51.464304)"
3980721932,3980721951,0,"LINESTRING (-2.582054 51.464302, -2.581961 51.464304)"
3980721932,3980721933,0,"LINESTRING (-2.582054 51.464302, -2.582304 51.4643)"
3980721932,3980721955,0,"LINESTRING (-2.582054 51.464302, -2.582087 51.464454)"
3980721932,3980721930,0,"LINESTRING (-2.582054 51.464302, -2.582056 51.464248)"
3980721951,3980721935,0,"LINESTRING (-2.581961 51.464304, -2.581754 51.464306)"
3980721951,3980721932,0,"LINESTRING (-2.581961 51.464304, -2.582054 51.464302)"
3980721951,3980721930,0,"LINESTRING (-2.581961 51.464304, -2.582001 51.464273, -2.582056 51.464248)"
