edge_id,from_node,to_node,key,length,travel_time,safety_score,speed_score,greenery_score,weight
1474,835468061,6327939700,0,20.59729899118301,2.3037480075142245,0.16000000000000003,0.45,0.08000000000000002,14.212136303916278
1475,835468061,3980721935,0,18.75296346946253,2.0974644416364816,0.16000000000000003,0.45,0.08000000000000002,12.939544793929146
1476,835468061,6327939694,0,6.3396864783708695,0.709075500582075,0.16000000000000003,0.45,0.08000000000000002,4.3743836700759005
1477,6327939700,835468061,0,20.59729899118301,2.3037480075142245,0.16000000000000003,0.45,0.08000000000000002,14.212136303916278
1478,6327939700,6327939693,0,8.753124989104197,0.8936824521345158,0.16000000000000003,0.45,0.004999999999999999,5.3831718682990815
1479,6327939700,6327939696,0,20.754382793048954,2.321317374047008,0.16000000000000003,0.45,0.08000000000000002,14.320524127203779
1480,6327939694,835468061,0,6.3396864783708695,0.709075500582075,0.16000000000000003,0.45,0.08000000000000002,4.3743836700759005
1481,6327939694,3980721920,0,4.5731196070473965,0.5114901321464274,0.16000000000000003,0.45,0.08000000000000002,3.1554525288627038
1482,6327939694,6327939555,0,15.34217205045876,1.5664154180582328,0.16000000000000003,0.45,0.004999999999999999,9.435435811032137
1483,6327939693,6327939700,0,8.753124989104197,0.8936824521345158,0.16000000000000003,0.45,0.004999999999999999,5.3831718682990815
1484,6327939693,6327939555,0,5.308731050394048,0.5420143992853385,0.16000000000000003,0.45,0.004999999999999999,3.2648695959923395
1485,6327939693,6327939552,0,6.192421792440559,0.6926043736185645,0.16000000000000003,0.45,0.09,4.334695254708391
1486,6327939696,6327939698,0,9.406822563675878,1.0521257543226776,0.16000000000000003,0.45,0.08000000000000002,6.490707568936356
1487,6327939696,6327939695,0,7.677961515002681,0.8587576725244404,0.16000000000000003,0.45,0.08000000000000002,5.29779344535185
1488,6327939696,6327939700,0,20.754382793048954,2.321317374047008,0.16000000000000003,0.45,0.08000000000000002,14.320524127203779
1489,3980721920,6327939694,0,4.5731196070473965,0.5114901321464274,0.16000000000000003,0.45,0.08000000000000002,3.1554525288627038
1490,3980721920,859323259,0,6.6609871294968075,0.7450120442600231,0.16000000000000003,0.45,0.08000000000000002,4.596081119352798
1491,3980721920,3980721930,0,14.236537593695004,1.4535316064235304,0.16000000000000003,0.45,0.004999999999999999,8.755470620122427
