u,v,key,osmid,highway,lanes,maxspeed,name,oneway,reversed,length,speed_kph,travel_time,geometry,lit,surface,ref,width,tunnel,junction,access,service,bridge
306495559,959306935,0,27921161,service,,,,False,False,48.40412001082174,32.1868,5.413860092924997,"LINESTRING (-3.5306173 50.7247662, -3.530453 50.7248476, -3.5301095 50.7249974, -3.5300601 50.7249738)",no,paving_stones,,,,,,,
306495559,62142185,0,27921161,service,,,,False,True,15.86187440180413,32.1868,1.7741045349800189,"LINESTRING (-3.5306173 50.7247662, -3.5305228 50.7246769, -3.5304892 50.7246489)",no,asphalt,,,,,,,
306495559,10315489210,0,"[1128306718, 1128306719]",service,,,,False,"[False, True]",21.342629866923286,32.1868,2.3871110989885245,"LINESTRING (-3.5306173 50.7247662, -3.5307076 50.7248071, -3.5308244 50.7249037)",no,asphalt,,,,,,parking_aisle,
8963647388,62143010,0,7036615,pedestrian,,,Gandy Street,False,False,10.879003605935743,32.1868,1.2167849236758137,"LINESTRING (-3.5314306 50.724776, -3.5313403 50.7246966)",yes,paving_stones,,,,,,,
8963647388,54212836,0,7036615,pedestrian,,,Gandy Street,False,True,33.87150359557748,32.1868,3.7884291990529952,"LINESTRING (-3.5314306 50.724776, -3.5314961 50.7248366, -3.5315711 50.7249119, -3.5317045 50.7250163, -3.5317124 50.7250224)",yes,paving_stones,,,,,,,
8963647388,62142577,0,"[1102252525, 651578933, 971180349, 971180350, 971180351]",footway,,,Queens Walk,False,False,41.7633642308889,32.1868,4.671110866293016,"LINESTRING (-3.5314306 50.724776, -3.5314533 50.7247644, -3.531455 50.7247638, -3.5315097 50.7247343, -3.5315701 50.7246986, -3.5315883 50.7246802, -3.5317895 50.7245745, -3.53188 50.7245328)",yes,paving_stones,,,building_passage,,,,
62143009,62141562,0,8694023,footway,,,,False,False,48.31473535315955,32.1868,5.403862678842706,"LINESTRING (-3.5309367 50.7249658, -3.5309786 50.7249983, -3.5310162 50.7250251, -3.5310403 50.7250616, -3.5311446 50.7250989, -3.531345 50.7251594, -3.5315035 50.7251687)",no,asphalt,,,,,,,
62143009,306496592,0,"[7981835, 651578938, 651578939, 8694023]",footway,,,,False,True,76.84236648641897,32.1868,8.59459527977644,"LINESTRING (-3.5309367 50.7249658, -3.5308412 50.7249809, -3.5308195 50.7249647, -3.5306314 50.7248236, -3.5304727 50.7248987, -3.5301729 50.7250541, -3.5301173 50.7250787, -3.5301054 50.725084)",no,paving_stones,,,,,,,
62143009,62141060,0,8694247,footway,,,,False,True,46.76798976840144,32.1868,5.230863682200319,"LINESTRING (-3.5309367 50.7249658, -3.5309117 50.725053, -3.5309053 50.7250681, -3.530867 50.7251586, -3.5308122 50.725249, -3.5308485 50.7253727)",no,asphalt,,,,,,,
62143009,62143010,0,"[1128306720, 8694117, 1020286806, 1020286807, 651578936]",footway,,,New Buildings,False,False,41.60297271735241,32.1868,4.653171541826733,"LINESTRING (-3.5309367 50.7249658, -3.530978 50.7249158, -3.5309922 50.7249067, -3.5309954 50.7249046, -3.5310754 50.7248501, -3.5310929 50.7248401, -3.531152 50.7248001, -3.5312129 50.7247643, -3.5312487 50.7247455, -3.5313161 50.7247096, -3.5313184 50.7247086, -3.5313403 50.7246966)",yes,paving_stones,,,building_passage,,,,
3805308258,59743605,0,"[8763673, 7981631]","['pedestrian', 'footway']",,,Market Arcade,False,"[False, True]",49.13070762134576,32.1868,5.495126804679085,"LINESTRING (-3.5322421 50.7241217, -3.5322348 50.7241357, -3.5317766 50.7243854, -3.5317204 50.7244119)",yes,paving_stones,,,,,,,
3805308258,62990033,0,8763673,footway,,,,False,True,27.325523340389793,32.1868,3.056280339313112,"LINESTRING (-3.5322421 50.7241217, -3.5324685 50.7240175, -3.5325499 50.7239723)",yes,paving_stones,,,,,,,
3805308258,5218414241,0,"[539267732, 607573495]","['steps', 'footway']",,,,False,False,26.210263912519302,34.06605393721507,2.769823304424183,"LINESTRING (-3.5322421 50.7241217, -3.5322618 50.7241314, -3.5323661 50.7242073, -3.5324278 50.7242498, -3.5323962 50.7242686, -3.5323622 50.7242421)",yes,paving_stones,,,,,,,
2420683599,106201139,0,7991802,footway,,,,False,True,29.414124360994474,32.1868,3.2898842910627994,"LINESTRING (-3.5298625 50.7239066, -3.5298935 50.7239289, -3.5300546 50.7240449, -3.5300998 50.7240837, -3.5301299 50.7241096)",yes,paving_stones,,,,,,,
2420683599,2420683607,0,233727969,footway,,,Catherine Square,False,False,20.17190354186695,32.1868,2.2561687633042435,"LINESTRING (-3.5298625 50.7239066, -3.5298241 50.723931, -3.5297631 50.7239692, -3.5296585 50.724034)",yes,paving_stones,,,,,,,
2420683599,10061817910,0,233727969,footway,,,Catherine Square,False,True,9.681412058164186,32.1868,1.0828377909388653,"LINESTRING (-3.5298625 50.7239066, -3.5299236 50.7238722, -3.5298852 50.7238466)",yes,paving_stones,,,,,,,
62141562,62143009,0,8694023,footway,,,,False,True,48.31473535315955,32.1868,5.403862678842706,"LINESTRING (-3.5315035 50.7251687, -3.531345 50.7251594, -3.5311446 50.7250989, -3.5310403 50.7250616, -3.5310162 50.7250251, -3.5309786 50.7249983, -3.5309367 50.7249658)",no,asphalt,,,,,,,
62141562,54212836,0,25725419,service,,,Bradninch Place,False,False,21.935728793720383,32.1868,2.45344748957316,"LINESTRING (-3.5315035 50.7251687, -3.5316443 50.7250736, -3.5317124 50.7250224)",yes,asphalt,,,,,customers,,
62141562,13541593253,0,25725419,service,,,Bradninch Place,False,True,3.2288061336331886,32.1868,0.3611325786061205,"LINESTRING (-3.5315035 50.7251687, -3.531493 50.7251907, -3.5314994 50.7251952)",no,asphalt,,,,,customers,,
13541593253,13495660308,0,1476272686,steps,,,,False,False,7.113171552993849,34.06605393721507,0.7516989680687182,"LINESTRING (-3.5314994 50.7251952, -3.5314265 50.7252395)",no,asphalt,,,,,,,
13541593253,62141562,0,25725419,service,,,Bradninch Place,False,False,3.2288061336331886,32.1868,0.3611325786061205,"LINESTRING (-3.5314994 50.7251952, -3.531493 50.7251907, -3.5315035 50.7251687)",no,asphalt,,,,,customers,,
13541593253,13541593257,0,25725419,service,,,Bradninch Place,False,True,16.50294732922881,32.1868,1.8458066780550948,"LINESTRING (-3.5314994 50.7251952, -3.5315869 50.7252569, -3.5316552 50.7253061)",no,asphalt,,,,,customers,,
