u,v,key,osmid,highway,lanes,maxspeed,name,oneway,reversed,length,speed_kph,travel_time,geometry,lit,surface,ref,width,tunnel,junction,access,service,bridge,distance,lighting,greenery,pollution,surface_quality
6212425622,6212403293,0,663716085,footway,,,,False,True,56.50751207180351,34.375197396878484,5.917843644934685,"LINESTRING (-3.5269405 50.7254165, -3.5267595 50.7252577, -3.5266422 50.7251868, -3.5265244 50.7251074, -3.5264132 50.7250353)",yes,asphalt,,,,,,,,56.50751207180351,0.2,0.9,0.1,0.9
6212425622,497693629,0,663718584,footway,,,,False,True,7.710813954550807,34.375197396878484,0.8075278787752828,"LINESTRING (-3.5269405 50.7254165, -3.526901 50.72543, -3.5268456 50.7254511)",yes,asphalt,,,,,,,,7.710813954550807,0.2,0.9,0.1,0.9
41437657,376042422,0,596074182,unclassified,1,20 mph,High Street,False,False,30.660349082328466,32.1868,3.42927090286647,"LINESTRING (-3.5274544 50.7253845, -3.5270691 50.7255131)",yes,paving_stones,,6.6,,,,,,30.660349082328466,0.2,0.4,0.3,1.1
41437657,9773201158,0,5582128,footway,,,Roman Gate,False,True,56.25911037251996,34.375197396878484,5.891829361813739,"LINESTRING (-3.5274544 50.7253845, -3.5274811 50.7254073, -3.5275561 50.7254716, -3.5279209 50.7257607, -3.5279515 50.7257804)",yes,paving_stones,,,,,,,,56.25911037251996,0.2,0.9,0.1,1.1
41437657,59817531,0,"[1126819250, 596074182]",unclassified,1,20 mph,High Street,False,True,28.277256813120946,32.1868,3.162728961165304,"LINESTRING (-3.5274544 50.7253845, -3.5275686 50.725331, -3.5277774 50.7252333)",yes,asphalt,,6.6,,,,,,28.277256813120946,0.2,0.4,0.3,0.9
21761609,174022412,0,16811323,secondary,1,30 mph,Heavitree Road,False,False,52.058838883359776,48.2802,3.881753182051756,"LINESTRING (-3.5222055 50.7252679, -3.5221898 50.7251748, -3.5221603 50.7251188, -3.5221033 50.7250647, -3.521768 50.7249317)",yes,asphalt,B3183,,,,,,,52.058838883359776,0.2,0.3,0.7,0.9
21761609,5784302000,0,655753851,secondary,2,30 mph,,False,True,15.966584098278167,48.2802,1.190544006731567,"LINESTRING (-3.5222055 50.7252679, -3.5222165 50.7253265, -3.522241 50.725386, -3.5222595 50.7254059)",yes,asphalt,B3183,,,roundabout,,,,15.966584098278167,0.2,0.3,0.7,0.9
21761609,5784256589,0,655753859,secondary,2,30 mph,,False,False,28.4298770178994,48.2802,2.1198660582275517,"LINESTRING (-3.5222055 50.7252679, -3.5222142 50.7252452, -3.5222551 50.7251691, -3.5223318 50.725105, -3.5224237 50.7250634)",yes,asphalt,B3183,,,roundabout,,,,28.4298770178994,0.2,0.3,0.7,0.9
174022412,21761609,0,16811323,secondary,1,30 mph,Heavitree Road,False,True,52.058838883359776,48.2802,3.881753182051756,"LINESTRING (-3.521768 50.7249317, -3.5221033 50.7250647, -3.5221603 50.7251188, -3.5221898 50.7251748, -3.5222055 50.7252679)",yes,asphalt,B3183,,,,,,,52.058838883359776,0.2,0.3,0.7,0.9
174022412,5784256589,0,16811334,secondary,2,30 mph,Heavitree Road,False,False,48.54440140138155,48.2802,3.61970010573638,"LINESTRING (-3.521768 50.7249317, -3.5222626 50.7250448, -3.5224237 50.7250634)",yes,asphalt,B3183,,,,,,,48.54440140138155,0.2,0.3,0.7,0.9
