osmid,highway,maxspeed,name,oneway,reversed,length,speed_kph,travel_time,geometry,lanes,access,tunnel,ref,junction,service,bridge,access_score,score_band,edge_colour
395171838,footway,,,False,True,26.18,32.18679999999999,2.928,"LINESTRING (-2.5819609 51.4643035, -2.5819273 51.4643337, -2.5819085 51.4643697, -2.5819078 51.4643876, -2.5819159 51.4644064, -2.5819501 51.4644319, -2.5819869 51.4644449, -2.5820226 51.4644526, -2.5820873 51.4644538)",,,,,,,,0.0025944966315763584,0.9,#199750
395171851,footway,,,False,True,16.98,32.18679999999999,1.899,"LINESTRING (-2.5820873 51.4644538, -2.5820544 51.4643025)",,,,,,,,0.00258452984155766,0.9,#199750
395171838,footway,,,False,False,26.18,32.18679999999999,2.928,"LINESTRING (-2.5820873 51.4644538, -2.5820226 51.4644526, -2.5819869 51.4644449, -2.5819501 51.4644319, -2.5819159 51.4644064, -2.5819078 51.4643876, -2.5819085 51.4643697, -2.5819273 51.4643337, -2.5819609 51.4643035)",,,,,,,,0.0025944966315763584,0.9,#199750
395171838,footway,,,False,True,24.91,32.18679999999999,2.786,"LINESTRING (-2.5820873 51.4644538, -2.5821396 51.4644462, -2.5822113 51.4644244, -2.5822493 51.4643998, -2.5822757 51.4643733, -2.5822961 51.4643278, -2.5823035 51.4642999)",,,,,,,,0.0025550309332633284,0.9,#199750
382889002,primary,20 mph,Stokes Croft,False,False,6.79,32.1868,0.76,"LINESTRING (-2.5899999 51.4626939, -2.5899886 51.4627228, -2.5899555 51.4627464)",,,,A38,,,,0.022882289211055038,0.5,#feffbe
"[382889002, 1255967452, 471285354]",primary,20 mph,Stokes Croft,False,True,58.64,32.1868,6.559,"LINESTRING (-2.5899999 51.4626939, -2.5900238 51.4626353, -2.5901863 51.4623133, -2.5902622 51.4621929)",1,,,A38,,,,0.11779268704167828,0.0,#a50026
625435527,footway,,,False,False,4.34,32.18679999999999,0.486,"LINESTRING (-2.5899999 51.4626939, -2.5899895 51.4626931, -2.5899646 51.4626906, -2.5899383 51.4626868)",,,,,,,,0.02008645500901046,0.6,#d9ef8b
471285349,footway,,,False,False,5.57,32.18679999999999,0.623,"LINESTRING (-2.5902622 51.4621929, -2.590233 51.4621876, -2.5902116 51.4621838, -2.5901855 51.462178)",,,,,,,,0.11779268704167828,0.0,#a50026
"[382889002, 471285354, 1255967452]",primary,20 mph,Stokes Croft,False,False,58.64,32.1868,6.559,"LINESTRING (-2.5902622 51.4621929, -2.5901863 51.4623133, -2.5900238 51.4626353, -2.5899999 51.4626939)",1,,,A38,,,,0.11779268704167828,0.0,#a50026
471285354,primary,20 mph,Stokes Croft,False,True,15.37,32.1868,1.719,"LINESTRING (-2.5902622 51.4621929, -2.5902985 51.4621212, -2.5903093 51.4620585)",,,,A38,,,,0.1274263902710315,0.0,#a50026
