y,x,street_count,highway,ref,junction,railway,geometry
51.463785,-2.5777684,1,motorway_junction,3,,,POINT (-2.5777684 51.463785)
51.4647487,-2.576955,1,,,,,POINT (-2.576955 51.4647487)
51.4589156,-2.5626975,3,,,,,POINT (-2.5626975 51.4589156)
51.4578902,-2.5623818,3,,,yes,,POINT (-2.5623818 51.4578902)
51.4576796,-2.5761622,3,,,,,POINT (-2.5761622 51.4576796)
51.4595295,-2.5757696,3,,,,,POINT (-2.5757696 51.4595295)
51.4598753,-2.5752205,3,,,,,POINT (-2.5752205 51.4598753)
51.4567817,-2.5787682,3,,,,,POINT (-2.5787682 51.4567817)
51.4574095,-2.580242,3,,,,,POINT (-2.580242 51.4574095)
51.4631706,-2.5696284,4,,,,,POINT (-2.5696284 51.4631706)
51.4632705,-2.5709412,6,,,,,POINT (-2.5709412 51.4632705)
51.4641985,-2.5720441,1,,,,,POINT (-2.5720441 51.4641985)
51.4543545,-2.5835685,1,,,,,POINT (-2.5835685 51.4543545)
51.45579,-2.5840669,3,,,,,POINT (-2.5840669 51.45579)
51.4553881,-2.5838766,3,,,,,POINT (-2.5838766 51.4553881)
51.4558712,-2.5833771,1,,,,,POINT (-2.5833771 51.4558712)
51.4555578,-2.5832263,1,,,,,POINT (-2.5832263 51.4555578)
51.4545584,-2.5863141,3,,,,,POINT (-2.5863141 51.4545584)
51.4550412,-2.586792,3,,,,,POINT (-2.586792 51.4550412)
51.4547035,-2.5853698,3,,,,,POINT (-2.5853698 51.4547035)
51.4554804,-2.5832586,1,,,,,POINT (-2.5832586 51.4554804)
51.4564648,-2.5854634,3,,,,,POINT (-2.5854634 51.4564648)
51.4533793,-2.5838426,3,,,,,POINT (-2.5838426 51.4533793)
51.4546853,-2.5926152,3,,,,,POINT (-2.5926152 51.4546853)
51.4548932,-2.5926651,3,,,,,POINT (-2.5926651 51.4548932)
51.4576936,-2.5919179,3,,,,,POINT (-2.5919179 51.4576936)
51.4565938,-2.5882945,3,,,,,POINT (-2.5882945 51.4565938)
51.4495254,-2.5967952,1,,,,,POINT (-2.5967952 51.4495254)
51.4516346,-2.5927116,4,,,,,POINT (-2.5927116 51.4516346)
51.450381,-2.5927652,4,,,,,POINT (-2.5927652 51.450381)
51.4601039,-2.582482,3,,,,,POINT (-2.582482 51.4601039)
51.4596597,-2.5835558,3,,,,,POINT (-2.5835558 51.4596597)
51.4585889,-2.5836427,4,,,,,POINT (-2.5836427 51.4585889)
51.4583794,-2.5837823,3,traffic_signals,,,,POINT (-2.5837823 51.4583794)
51.4602364,-2.5823311,3,,,,,POINT (-2.5823311 51.4602364)
51.4608523,-2.5815743,3,,,,,POINT (-2.5815743 51.4608523)
51.4575434,-2.5846117,3,,,,,POINT (-2.5846117 51.4575434)
51.458376,-2.5840314,4,traffic_signals,,,,POINT (-2.5840314 51.458376)
51.4592344,-2.5839225,3,,,,,POINT (-2.5839225 51.4592344)
51.4596247,-2.5840601,4,crossing,,,,POINT (-2.5840601 51.4596247)
51.4543702,-2.5973574,1,,,,,POINT (-2.5973574 51.4543702)
51.4523589,-2.5993303,1,,,,,POINT (-2.5993303 51.4523589)
51.4508889,-2.6075787,3,,,,,POINT (-2.6075787 51.4508889)
51.4507084,-2.6074885,4,,,,,POINT (-2.6074885 51.4507084)
51.4796336,-2.6168126,3,,,,,POINT (-2.6168126 51.4796336)
51.4794468,-2.6164965,3,,,,,POINT (-2.6164965 51.4794468)
51.5098729,-2.6182756,3,,,,,POINT (-2.6182756 51.5098729)
51.5096613,-2.6181855,3,,,,,POINT (-2.6181855 51.5096613)
51.5099427,-2.617999,3,,,,,POINT (-2.617999 51.5099427)
51.5147693,-2.6203939,3,,,,,POINT (-2.6203939 51.5147693)
51.5135981,-2.6196258,3,,,,,POINT (-2.6196258 51.5135981)
51.5111044,-2.619561,4,traffic_signals,,,,POINT (-2.619561 51.5111044)
51.5112593,-2.6194565,3,traffic_signals,,,,POINT (-2.6194565 51.5112593)
51.4708162,-2.6163516,4,,,,,POINT (-2.6163516 51.4708162)
51.4714858,-2.6156949,4,crossing,,,,POINT (-2.6156949 51.4714858)
51.47407,-2.6161014,3,traffic_signals,,,,POINT (-2.6161014 51.47407)
51.4752949,-2.6164156,3,,,,,POINT (-2.6164156 51.4752949)
51.463073,-2.571063,4,,,,,POINT (-2.571063 51.463073)
51.464055,-2.5715983,1,,,,,POINT (-2.5715983 51.464055)
51.4635566,-2.5706789,5,,,,,POINT (-2.5706789 51.4635566)
51.4611528,-2.5734972,3,,,,,POINT (-2.5734972 51.4611528)
51.4603053,-2.5746283,3,,,,,POINT (-2.5746283 51.4603053)
51.4739497,-2.5563536,3,crossing,,,,POINT (-2.5563536 51.4739497)
51.4738144,-2.5565297,3,crossing,,,,POINT (-2.5565297 51.4738144)
51.4524521,-2.5872616,3,,,,,POINT (-2.5872616 51.4524521)
51.4407161,-2.5812699,3,,,,,POINT (-2.5812699 51.4407161)
51.432047,-2.578492,3,,,,,POINT (-2.578492 51.432047)
51.4324657,-2.5745233,1,,,,,POINT (-2.5745233 51.4324657)
51.4327458,-2.5720487,1,,,,,POINT (-2.5720487 51.4327458)
51.4329338,-2.5708956,1,,,,,POINT (-2.5708956 51.4329338)
51.4338937,-2.5672163,3,,,,,POINT (-2.5672163 51.4338937)
51.4337307,-2.5785248,3,,,,,POINT (-2.5785248 51.4337307)
51.4343019,-2.578945,3,,,,,POINT (-2.578945 51.4343019)
51.435917,-2.5810953,3,,,,,POINT (-2.5810953 51.435917)
51.4370831,-2.5839198,3,,,,,POINT (-2.5839198 51.4370831)
51.4639254,-2.5703299,3,,,,,POINT (-2.5703299 51.4639254)
51.4651266,-2.5696854,3,,,,,POINT (-2.5696854 51.4651266)
51.4670314,-2.5683325,4,,,,,POINT (-2.5683325 51.4670314)
51.4678941,-2.5672449,3,,,,,POINT (-2.5672449 51.4678941)
51.4683182,-2.5665888,3,,,,,POINT (-2.5665888 51.4683182)
51.4688109,-2.5660276,3,,,,,POINT (-2.5660276 51.4688109)
51.4702236,-2.5639913,4,,,,,POINT (-2.5639913 51.4702236)
51.4715543,-2.5605567,3,,,,,POINT (-2.5605567 51.4715543)
51.4726835,-2.5583739,3,,,,,POINT (-2.5583739 51.4726835)
51.4734818,-2.5569688,3,,,,,POINT (-2.5569688 51.4734818)
51.4730707,-2.5516401,4,,,,,POINT (-2.5516401 51.4730707)
51.473086,-2.5508504,3,,,,,POINT (-2.5508504 51.473086)
51.473676,-2.5485975,3,,,,,POINT (-2.5485975 51.473676)
51.4740867,-2.547454,3,,,,,POINT (-2.547454 51.4740867)
51.4742193,-2.5470831,3,,,,,POINT (-2.5470831 51.4742193)
51.4748982,-2.5450025,3,,,,,POINT (-2.5450025 51.4748982)
51.4754384,-2.5426897,3,,,,,POINT (-2.5426897 51.4754384)
51.4757828,-2.5411478,3,,,,,POINT (-2.5411478 51.4757828)
51.4762991,-2.5393284,3,,,,,POINT (-2.5393284 51.4762991)
51.4768034,-2.5380335,3,,,,,POINT (-2.5380335 51.4768034)
51.4773224,-2.5368637,3,,,,,POINT (-2.5368637 51.4773224)
51.4778415,-2.5355444,3,crossing,,,,POINT (-2.5355444 51.4778415)
51.4787891,-2.5332572,4,,,,,POINT (-2.5332572 51.4787891)
51.4782669,-2.5345299,3,,,,,POINT (-2.5345299 51.4782669)
51.4791011,-2.5323095,4,crossing,,,,POINT (-2.5323095 51.4791011)
51.4795986,-2.5307507,3,,,,,POINT (-2.5307507 51.4795986)
51.4802107,-2.5293908,3,,,,,POINT (-2.5293908 51.4802107)
51.480943,-2.5286562,3,,,,,POINT (-2.5286562 51.480943)
51.4814931,-2.5277873,3,,,,,POINT (-2.5277873 51.4814931)
51.4815851,-2.5271846,3,,,,,POINT (-2.5271846 51.4815851)
51.4817185,-2.5251624,3,,,,,POINT (-2.5251624 51.4817185)
51.4817883,-2.526903,3,,,,,POINT (-2.526903 51.4817883)
51.4818879,-2.5252373,3,,,,,POINT (-2.5252373 51.4818879)
51.4818665,-2.5257977,3,,,,,POINT (-2.5257977 51.4818665)
51.4818089,-2.5237499,3,,,,,POINT (-2.5237499 51.4818089)
51.4819526,-2.5234588,3,,,,,POINT (-2.5234588 51.4819526)
51.4826253,-2.5216762,3,,,,,POINT (-2.5216762 51.4826253)
51.4833323,-2.5197612,3,,,,,POINT (-2.5197612 51.4833323)
51.4836613,-2.5189266,3,,,,,POINT (-2.5189266 51.4836613)
51.4839857,-2.5180699,3,,,,,POINT (-2.5180699 51.4839857)
51.4842912,-2.5172507,3,,,,,POINT (-2.5172507 51.4842912)
51.4845693,-2.5165396,4,,,,,POINT (-2.5165396 51.4845693)
51.4982789,-2.5799203,3,,,,,POINT (-2.5799203 51.4982789)
51.4959259,-2.5814172,3,,,,,POINT (-2.5814172 51.4959259)
51.4948889,-2.5820033,3,,,,,POINT (-2.5820033 51.4948889)
51.4941805,-2.5823564,3,,,,,POINT (-2.5823564 51.4941805)
51.4936018,-2.5826829,4,,,,,POINT (-2.5826829 51.4936018)
51.489334,-2.5849503,3,crossing,,,,POINT (-2.5849503 51.489334)
51.4889227,-2.584788,3,,,,,POINT (-2.584788 51.4889227)
51.4836857,-2.5868295,3,,,,,POINT (-2.5868295 51.4836857)
51.4562142,-2.6080503,3,,,,,POINT (-2.6080503 51.4562142)
51.4560705,-2.6081676,4,traffic_signals,,,,POINT (-2.6081676 51.4560705)
51.4537869,-2.6100036,3,,,,,POINT (-2.6100036 51.4537869)
