edge_id,from_node,to_node,key,length,travel_time,access_score
901,2433779953,3811627145,0,6.57,0.735,0.01861368118350035
902,2433779953,19871266,0,37.09,4.148,0.016832688147893918
903,2433779953,2433779947,0,31.29,3.5,0.016832688147893918
904,2433821534,364165249,0,7.28,0.543,0.007926838899134155
905,2433821534,385560628,0,43.13,3.216,0.008547678385772233
906,2433821534,2433821535,0,8.3,0.929,0.008378825369294995
907,2433821534,3860745718,0,8.53,0.954,0.007853030073265715
908,2433821535,1280674364,0,7.0,0.782,0.00849604175459437
909,2433821535,385560628,0,6.12,0.685,0.008547678385772233
910,2433821535,2433821534,0,8.3,0.929,0.008378825369294995
911,2433821537,385560628,0,9.57,1.07,0.008795998072848128
912,2433821537,492212322,0,35.76,4.0,0.008795998072848128
913,2433821537,826736676,0,103.43,11.568,0.025774437599464527
914,2433821542,262442262,0,40.37,3.01,0.006840786423521638
915,2433821542,17476875,0,23.62,1.761,0.007547017219530292
916,2433821542,2433821544,0,13.46,1.506,0.006517916188555372
917,2433821542,3860786634,0,139.89,15.646,0.007872571715851717
918,2433821544,2179076502,0,60.13,6.726,0.006518508396286204
919,2433821544,3860745718,0,19.23,2.151,0.0074249216713223815
920,2433821544,2433821542,0,13.46,1.506,0.006517916188555372
921,2433863938,645089864,0,63.89,7.146,0.015396979332715341
922,2433863938,993186001,0,46.47,5.197,0.011897183905952803
923,2433863938,3860890371,0,151.59,16.955,0.010394227698704435
924,2515293875,262442698,0,11.48,1.284,0.014407184037762748
925,2515293875,262442695,0,30.52,3.414,0.014483188460154457
926,2515293875,2515293876,0,9.64,1.078,0.015541063870013595
927,2515293876,2515293875,0,9.64,1.078,0.015541063870013595
928,2515293876,262442698,0,11.11,1.243,0.015541063870013595
929,2515293876,262442694,0,61.18,6.843,0.024612331716941858
930,2515293881,262442695,0,16.83,1.883,0.015278648366731058
931,2515293881,262442694,0,18.52,2.072,0.01994759396390908
932,2515293881,6047257804,0,88.34,9.881,0.015555195769072324
933,2519732440,1280267492,0,21.5,2.404,0.0162130013679199
934,2533775204,3860810901,0,7.21,0.806,0.02835653989166249
935,2533775206,5834930877,0,37.13,4.153,0.055013162988144515
936,2533775206,117678036,0,26.76,2.993,0.055013162988144515
937,2533775206,5919438954,0,13.98,1.564,0.14118662107669044
938,2627428303,435846358,0,88.54,9.903,0.050258688698080416
939,2743760828,374166815,0,71.68,8.017,0.01338711465880663
940,2743760828,30239264,0,23.36,2.612,0.009170221267455312
941,2882617932,859323223,0,11.72,1.311,0.008634917945595934
942,2882617940,21591967,0,45.92,5.136,0.007795831115744535
943,2882617940,293907316,0,48.58,5.433,0.011920284493459173
944,2882617940,859323223,0,47.17,5.276,0.00861508726622265
945,2920948564,2920948566,0,9.36,1.047,0.008935672322598306
946,2920948566,3860908593,0,5.89,0.659,0.009157938047345986
947,2920948566,3860908593,1,51.94,5.809,0.01043648920951492
948,2920948566,3860908591,0,68.14,7.621,0.008935672322598306
949,2920948566,2920948564,0,9.36,1.047,0.008935672322598306
950,2941119309,5919449215,0,60.77,6.797,0.00591497419021033
951,2941119309,11786838677,0,48.0,5.369,0.008108677812534451
952,2941119309,5919449220,0,74.55,8.338,0.006156655873000026
953,3307418825,12806924702,0,35.38,3.957,0.017832750294350688
954,3307418825,12806924710,0,52.75,5.899,0.036369587989251315
955,3307418825,12806902199,0,73.97,8.273,0.02781616139109032
956,3329881928,3329881929,0,29.91,3.345,0.011755932494021345
957,3329881928,1281294900,0,9.62,1.076,0.00952777336711883
958,3329881928,5823455446,0,8.2,0.917,0.009863834564371282
959,3329881929,3329881928,0,29.91,3.345,0.011755932494021345
960,3329881929,1280853184,0,58.73,6.569,0.019902747736509466
961,3329881929,645089708,0,44.86,5.017,0.01580119063889269
962,3329881929,6937982874,0,41.37,4.627,0.015675565480251005
963,3329881929,5823455892,0,145.65,16.291,0.020263822626321138
964,3329881929,5823455892,1,42.01,4.699,0.020263822626321138
965,3332266263,287226495,0,4.71,0.527,0.1578405330116579
966,3332266263,287226483,0,27.65,3.093,0.23594703211316034
967,3332266263,3332266270,0,7.82,0.875,0.1578405330116579
968,3332266263,1280853181,0,18.28,2.045,0.21019547980713937
969,3332266267,364165253,0,7.79,0.871,0.0328442212005329
970,3332266267,3332266269,0,8.41,0.941,0.029509585536684254
971,3332266267,287226719,0,50.04,5.597,0.026914796564552017
972,3332266267,1081318790,0,37.67,4.213,0.026914796564552017
973,3332266269,3332266267,0,8.41,0.941,0.029509585536684254
974,3332266269,3332266272,0,6.94,0.776,0.0364508352995448
975,3332266269,645089711,0,67.79,7.583,0.03076993317179801
976,3332266270,3332266263,0,7.82,0.875,0.1578405330116579
977,3332266270,3332266271,0,4.94,0.553,0.07785987476817592
978,3332266270,1281318363,0,68.55,7.667,0.07785987476817592
979,3332266271,287226495,0,8.25,0.922,0.09615994894736224
980,3332266271,3332266270,0,4.94,0.553,0.07785987476817592
981,3332266271,6471108988,0,54.47,6.092,0.06482978184738401
982,3332266271,3332266272,0,14.68,1.642,0.06482978184738401
983,3332266272,364165253,0,7.83,0.875,0.0364508352995448
984,3332266272,3332266269,0,6.94,0.776,0.0364508352995448
985,3332266272,644926968,0,64.59,7.224,0.039537877252019446
986,3332266272,3332266271,0,14.68,1.642,0.06482978184738401
987,3546758138,2433764668,0,25.99,2.907,0.0036404756768469862
988,3546758138,2433764893,0,3.48,0.39,0.0035805628862577593
989,3546758138,2433764693,0,38.96,4.357,0.003632508669685095
990,3696173720,1280853195,0,14.71,1.645,0.032899454937934274
991,3696173720,287226495,0,59.21,6.622,0.09643138377876406
992,3696173720,1280853193,0,8.58,0.96,0.03860216293053682
993,3696173720,9464338656,0,9.81,1.098,0.032899454937934274
994,3811627140,859323159,0,16.31,1.825,0.015946908149294284
995,3811627140,2433778872,0,14.73,1.647,0.018918840788184385
996,3811627140,1968413548,0,7.15,0.8,0.017463746395186573
997,3811627143,2433778866,0,12.39,1.385,0.012698984210942113
998,3811627143,19871266,0,20.57,2.301,0.013040425050036523
999,3811627143,1968413567,0,10.94,1.223,0.014735885383188303
1000,3811627145,2433779953,0,6.57,0.735,0.01861368118350035
1001,3811627145,859323188,0,16.81,1.88,0.02470176396093218
1002,3811627145,1968413578,0,9.64,1.078,0.02025056511432816
1003,3842753611,492212322,0,47.47,5.309,0.009752033170467205
1004,3842753611,6481238325,0,10.57,1.182,0.010407329307724722
1005,3842753611,5919449201,0,20.7,2.315,0.010713864227263507
1006,3860745715,436181749,0,8.63,0.965,0.009200018116037977
1007,3860745715,1280674364,0,8.68,0.971,0.00867358170456357
1008,3860745715,1280674371,0,11.68,1.306,0.00867358170456357
1009,3860745718,17476875,0,5.96,0.667,0.007547017219530292
1010,3860745718,2433821534,0,8.53,0.954,0.007853030073265715
1011,3860745718,2433821544,0,19.23,2.151,0.0074249216713223815
1012,3860786634,2433821542,0,139.89,15.646,0.007872571715851717
1013,3860786634,10901402914,0,11.05,1.236,0.008171820987998577
1014,3860786634,1242132577,0,6.7,0.75,0.007983987985410081
1015,3860810901,12992899143,0,26.52,2.966,0.029603180074134948
1016,3860810901,2533775204,0,7.21,0.806,0.02835653989166249
1017,3860810901,1280821702,0,55.12,6.165,0.11726224591096818
1018,3860810901,262440061,0,39.61,4.43,0.02835653989166249
1019,3860890364,2179076502,0,8.12,0.909,0.0064078263220434676
1020,3860890366,2179076502,0,8.96,1.003,0.006126979360715804
1021,3860890366,2179076344,0,19.62,2.194,0.006218374629331207
1022,3860890366,5064786728,0,42.25,4.725,0.007389698354037406
1023,3860890367,2179076266,0,4.1,0.459,0.009529390363958681
1024,3860890367,2179076479,0,38.05,4.256,0.009489446390062644
1025,3860890367,3860890371,0,40.17,4.493,0.009489446390062644
1026,3860890371,300025247,0,10.84,1.212,0.007249640397320907
1027,3860890371,2433863938,0,151.59,16.955,0.010394227698704435
1028,3860890371,3860890367,0,40.17,4.493,0.009489446390062644
1029,3860908591,2179076283,0,62.65,7.007,0.009527531811717168
1030,3860908591,21238592,0,10.2,1.141,0.007911617508789331
1031,3860908591,25280228,0,39.05,4.367,0.009642778956442222
1032,3860908591,2920948566,0,68.14,7.621,0.008935672322598306
1033,3860908593,2920948566,0,5.89,0.659,0.009157938047345986
1034,3860908593,2920948566,1,51.94,5.809,0.01043648920951492
1035,3860908593,3860908599,0,45.22,5.058,0.012101233790900303
1036,3860908593,1382113164,0,10.57,1.182,0.009157938047345986
1037,3860908599,5750157404,0,26.96,3.016,0.017375427185929437
1038,3860908599,3860908593,0,45.22,5.058,0.012101233790900303
1039,3860908599,1280853184,0,35.91,4.016,0.019902747736509466
1040,3860964491,4654496419,0,15.91,1.779,0.10154294215989514
1041,3860964491,6111856716,0,13.13,1.469,0.07141412638170172
1042,3860964491,4654496416,0,5.57,0.623,0.11779268704167828
1043,3860964491,5905199213,0,59.38,6.642,0.07141412638170172
1044,3893231912,12461273925,0,4.14,0.463,0.03622755708482157
1045,3893231913,216601,0,5.34,0.398,0.07338691918101041
1046,3893231913,5146144539,0,17.12,1.277,0.09873468087723708
1047,3893231913,12461273925,0,15.28,1.709,0.07338691918101041
1048,3980721920,6327939694,0,4.57,0.511,0.0027219750310337205
1049,3980721920,859323259,0,6.66,0.745,0.002749102771852036
1050,3980721920,3980721930,0,14.24,1.592,0.0027219750310337205
1051,3980721930,3980721932,0,6.12,0.684,0.0026244518540636643
1052,3980721930,3980721920,0,14.24,1.592,0.0027219750310337205
1053,3980721930,3980721933,0,22.63,2.531,0.0026288213876029085
1054,3980721930,3980721951,0,9.13,1.021,0.0026244518540636643
1055,3980721932,3980721951,0,6.48,0.725,0.0025944966315763584
1056,3980721932,3980721933,0,17.26,1.93,0.00258452984155766
1057,3980721932,3980721955,0,16.98,1.899,0.00258452984155766
1058,3980721932,3980721930,0,6.12,0.684,0.0026244518540636643
1059,3980721933,3980721932,0,17.26,1.93,0.00258452984155766
1060,3980721933,13191500416,0,3.93,0.439,0.0025550309332633284
1061,3980721933,3980721955,0,24.91,2.786,0.0025550309332633284
1062,3980721933,3980721930,0,22.63,2.531,0.0026288213876029085
1063,3980721934,283348168,0,36.9,4.127,0.0025743343690923268
1064,3980721934,13191500421,0,5.08,0.568,0.002509523372658159
1065,3980721934,13191500418,0,34.46,3.855,0.002496309839142101
1066,3980721935,835468062,0,16.49,1.844,0.0026142018780873104
1067,3980721935,835468061,0,18.75,2.097,0.002683681906089928
1068,3980721935,3980721951,0,14.33,1.603,0.0026142018780873104
1069,3980721951,3980721935,0,14.33,1.603,0.0026142018780873104
1070,3980721951,3980721932,0,6.48,0.725,0.0025944966315763584
1071,3980721951,3980721930,0,9.13,1.021,0.0026244518540636643
1072,3980721951,3980721955,0,26.18,2.928,0.0025944966315763584
1073,3980721955,3980721932,0,16.98,1.899,0.00258452984155766
1074,3980721955,3980721951,0,26.18,2.928,0.0025944966315763584
1075,3980721955,3980721933,0,24.91,2.786,0.0025550309332633284
1076,4610359742,5905199219,0,6.79,0.76,0.022882289211055038
1077,4610359742,4654496416,0,58.64,6.559,0.11779268704167828
1078,4610359742,5905199213,0,4.34,0.486,0.02008645500901046
1079,4654496416,3860964491,0,5.57,0.623,0.11779268704167828
1080,4654496416,4610359742,0,58.64,6.559,0.11779268704167828
1081,4654496416,4654496419,0,15.37,1.719,0.1274263902710315
1082,4654496419,21309749,0,6.38,0.713,0.1013956111258436
1083,4654496419,3860964491,0,15.91,1.779,0.10154294215989514
1084,4654496419,4654496416,0,15.37,1.719,0.1274263902710315
1085,4661094415,104854,0,10.13,1.133,0.005224139830285467
1086,4661094415,5822644372,0,30.8,3.445,0.005150819986598801
1087,4661094415,6824060867,0,17.47,1.954,0.005446816125260109
1088,4661094415,12595689526,0,7.93,0.887,0.005150819986598801
1089,4661094416,5919449207,0,39.01,4.363,0.005399174299171604
1090,4661094416,6824060867,0,20.1,2.248,0.005548369154579742
1091,4661094416,12595689538,0,21.74,2.432,0.005285420683980173
1092,4794218446,4794218449,0,17.59,1.967,0.012378640144479421
1093,4794218449,19875368,0,66.08,7.391,0.010807438018774158
1094,4794218449,21309748,0,119.77,13.395,0.3927724823115031
1095,4794218449,4794218446,0,17.59,1.967,0.012378640144479421
1096,4795736874,4795736877,0,23.78,2.659,0.016008993908106027
1097,4795736877,293907316,0,4.0,0.448,0.012219051130221403
1098,4795736877,1079986909,0,136.04,15.216,0.045193656502895765
1099,4795736877,4795736874,0,23.78,2.659,0.016008993908106027
1100,4878990036,4878990037,0,10.02,1.121,0.02023368307784798
1101,4878990036,5156816332,0,27.18,3.04,0.02026727397720111
1102,4878990037,4878990036,0,10.02,1.121,0.02023368307784798
1103,4878990037,4878990038,0,6.28,0.702,0.016822023995636867
1104,4878990038,4878990037,0,6.28,0.702,0.016822023995636867
1105,4878990043,5156816332,0,31.05,3.472,0.046244323529002665
1106,5061066670,1242132603,0,21.55,2.41,0.007742716229686298
1107,5061066670,262442011,0,71.08,7.95,0.00832814351956967
1108,5061066670,1280674367,0,30.61,3.424,0.008549855997352319
1109,5061066696,5061067470,0,35.51,3.972,0.03448578547393992
1110,5061066696,5834930880,0,34.81,3.894,0.016468070997086207
1111,5061066696,5061067239,0,20.07,2.244,0.016468070997086207
1112,5061067239,6258642284,0,5.13,0.571,0.014562623321765429
1113,5061067239,5061066696,0,20.07,2.244,0.016468070997086207
1114,5061067239,5061067317,0,32.77,3.649,0.024072348849216767
1115,5061067317,5061067239,0,32.77,3.649,0.024072348849216767
1116,5061067317,5061067470,0,15.23,1.703,0.03448578547393992
1117,5061067317,12960802960,0,17.08,1.91,0.024072348849216767
1118,5061067470,5061066696,0,35.51,3.972,0.03448578547393992
1119,5061067470,5919438954,0,29.81,3.334,0.14118662107669044
1120,5061067470,5061067317,0,15.23,1.703,0.03448578547393992
1121,5064786728,492212322,0,8.82,0.987,0.007591170169262338
1122,5064786728,300025247,0,142.83,15.975,0.007389698354037406
1123,5064786728,3860890366,0,42.25,4.725,0.007389698354037406
1124,5065034057,17660703,0,87.54,9.791,0.016230940711348823
1125,5111590153,2179077577,0,26.73,2.989,0.012511941757446878
1126,5111590153,25280229,0,34.94,3.908,0.017730254895107305
1127,5111590153,2179076283,0,19.64,2.197,0.011558575973349377
1128,5146144539,3893231913,0,17.12,1.277,0.0987346808772371
1129,5156816332,4878990043,0,31.05,3.472,0.046244323529002665
1130,5156816332,4878990036,0,27.18,3.04,0.02026727397720111
1131,5156816332,366664563,0,57.09,6.386,0.01905971567026422
1132,5157651754,12461273917,0,11.51,1.287,0.011615291325398435
1133,5240224447,5240224448,0,20.12,2.251,0.010759888781083889
1134,5240224448,25280227,0,49.59,5.546,0.010633431510856868
1135,5240224448,104838,0,29.74,3.326,0.011561253787809716
1136,5240224448,5240224447,0,20.12,2.251,0.010759888781083889
1137,5240224464,104838,0,28.12,3.145,0.01704723870218172
1138,5240224464,364165254,0,21.4,2.394,0.026458446222838564
1139,5240224464,5240224465,0,10.01,1.12,0.017255620658168352
1140,5240224465,5240224464,0,10.01,1.12,0.017255620658168352
1141,5240224479,364165254,0,44.13,4.936,0.026458446222838564
1142,5240224479,859323162,0,10.97,1.227,0.015231697549449792
1143,5240224479,5240224480,0,7.37,0.825,0.016073854948224803
1144,5240224480,5240224479,0,7.37,0.825,0.016073854948224803
1145,5240224497,5240224498,0,8.93,0.999,0.06165384929650462
1146,5240224498,364165254,0,20.52,2.295,0.05201857358217238
1147,5240224498,859323071,0,23.09,2.583,0.0818728744145804
1148,5240224498,5240224497,0,8.93,0.999,0.06165384929650462
1149,5359925880,5359925883,0,24.11,2.697,0.01284298920775106
1150,5359925883,1227136503,0,20.69,2.315,0.01720317698151166
1151,5359925883,30239264,0,31.94,3.573,0.01284298920775106
1152,5359925883,5359925880,0,24.11,2.697,0.01284298920775106
1153,5423487737,1247839597,0,21.98,2.458,0.10752823433137429
1154,5425642850,117678074,0,34.86,3.882,0.01721546847869211
1155,5425642850,5832845874,0,16.69,1.859,0.014835937056432127
1156,5425642850,6403206657,0,15.01,1.679,0.01763030784772599
1157,5425642851,5425642852,0,11.95,1.336,0.010449155424939275
1158,5425642852,5425642851,0,11.95,1.336,0.010449155424939275
1159,5425642852,5832845874,0,25.61,2.851,0.012754581783324165
1160,5425642852,117677944,0,32.95,3.669,0.00999272841404615
1161,5435157624,262442292,0,38.74,4.332,0.006639297803527525
1162,5435157624,262442266,0,13.35,1.493,0.0058305685762119605
1163,5435157624,5435157625,0,4.36,0.488,0.005948399326012764
1164,5435157625,5435157624,0,4.36,0.488,0.005948399326012764
1165,5438534268,2433764756,0,7.29,0.816,0.003968787686964601
1166,5438534268,2433744240,0,34.82,3.895,0.004247779735610528
1167,5438534268,8230223567,0,42.63,4.768,0.004185761841565785
1168,5448085792,5448085793,0,14.31,1.6,0.03601627750039747
1169,5448085793,2045184012,0,22.52,2.518,0.02620619867265015
1170,5448085793,12992899143,0,4.7,0.526,0.027638158775542192
1171,5448085793,5448085792,0,14.31,1.6,0.03601627750039747
1172,5750157402,287226447,0,7.64,0.855,0.03409878238333079
1173,5750157404,3860908599,0,26.96,3.016,0.017375427185929437
1174,5750157404,1280853191,0,24.18,2.704,0.027408335640588442
1175,5750157404,287226447,0,58.0,6.488,0.034507282202123124
1176,5753086713,19871274,0,46.82,5.237,0.007633738522555663
1177,5753086713,10901402907,0,0.57,0.063,0.007663632443665173
1178,5753086713,10901402911,0,11.55,1.291,0.007633738522555663
1179,5794635161,2043096366,0,107.74,12.05,0.009284623222728891
1180,5794635161,993186001,0,22.85,2.556,0.01173312173486426
1181,5794635161,5794635164,0,88.68,9.919,0.009284623222728891
1182,5794635163,5794635164,0,30.02,3.358,0.006129304295836113
1183,5794635164,5794635163,0,30.02,3.358,0.006129304295836113
