,u,v,key,distance,lighting,greenery,pollution,surface_quality
263,12023837911,6281096650,0,24.12195417873917,0.2,0.3,0.7,0.1
264,12023837911,6281096706,0,36.579645446860155,0.2,0.3,0.7,0.1
265,12023837911,12023837913,0,35.56550593487164,0.2,0.4,0.3,0.1
266,5156816332,4878990043,0,31.04514194383513,0.2,0.4,0.3,0.1
267,5156816332,4878990036,0,27.175903989787948,0.2,0.6,0.4,0.1
268,5156816332,366664563,0,57.093939271659096,0.2,0.6,0.4,0.1
269,262440826,366664563,0,21.966894274689125,0.2,0.3,0.7,0.1
270,1500366483,537157926,0,53.86491325440897,0.8,0.4,0.3,0.1
271,1500366483,117678013,0,17.222705901316527,0.2,0.4,0.3,0.1
272,1500366483,12461273918,0,13.236298240427864,0.8,0.4,0.3,0.1
273,12461273917,5157651754,0,11.508376188512074,0.8,0.9,0.1,0.1
274,12461273917,12461273918,0,2.584883547258289,0.8,0.9,0.1,0.1
275,12461273917,12461273922,0,22.313672656733324,0.2,0.9,0.1,0.1
276,17405115,6824060862,0,8.873305344553396,0.8,0.4,0.3,0.1
277,17405115,5822644372,0,32.06047380265711,0.8,0.3,0.4,0.1
278,6824060862,17405115,0,8.873305344553396,0.8,0.4,0.3,0.1
279,12595689521,5822644372,0,6.260793451232258,0.8,0.9,0.1,0.1
280,12595689521,5822644369,0,26.318725902764726,0.8,0.9,0.1,0.3
281,12595689521,12595689526,0,28.332105879050864,0.8,0.9,0.1,0.3
282,2043096348,242756955,0,7.15325142079685,0.2,0.9,0.1,0.3
283,247834407,2045184023,0,12.201456163052812,0.8,0.4,0.3,0.1
284,247834407,242756955,0,29.364653898601645,0.8,0.4,0.3,0.3
285,247834407,1382252976,0,128.8609453275907,0.2,0.9,0.1,0.3
286,12620942896,12620942897,0,3.947029120055624,0.2,0.9,0.1,0.1
287,17406822,9402506778,0,29.434981534887076,0.2,0.4,0.3,0.1
288,17406822,11786838677,0,50.31083149708705,0.2,0.9,0.1,0.1
289,9402506778,17406822,0,29.434981534887072,0.2,0.4,0.3,0.1
290,9402506778,1382239390,0,6.959486970365305,0.8,0.4,0.3,0.1
291,9402506778,9402506784,0,7.275993657901621,0.8,0.4,0.3,0.1
292,11786838677,12806924704,0,2.7103162486645567,0.2,0.4,0.3,0.3
293,11786838677,2941119309,0,48.003022915396464,0.2,0.4,0.3,0.3
294,11786838677,17406822,0,50.31083149708705,0.2,0.9,0.1,0.1
295,1382239390,9402506778,0,6.959486970365305,0.8,0.4,0.3,0.1
296,9402506784,9402506775,0,2.974248218209774,0.8,0.4,0.3,0.1
297,9402506784,9402506778,0,7.275993657901621,0.8,0.4,0.3,0.1
298,12806924704,11786838677,0,2.7103162486645567,0.2,0.4,0.3,0.3
299,12806924704,12806924703,0,18.664002044441666,0.2,0.4,0.3,0.3
300,12806924704,12806924702,0,42.03518601522711,0.2,0.9,0.1,0.2
301,2941119309,5919449215,0,60.77386767168579,0.2,0.4,0.3,0.1
302,2941119309,11786838677,0,48.00302291539647,0.2,0.4,0.3,0.3
303,2941119309,5919449220,0,74.55051257521203,0.2,0.9,0.1,0.1
304,17476811,17476831,0,18.06566725626802,0.2,0.1,1.0,0.1
305,17476811,835468169,0,57.97798448297045,0.2,0.1,1.0,0.1
306,17476811,1242132603,0,39.24410496984093,0.2,0.4,0.3,0.1
307,17476831,17476811,0,18.06566725626802,0.2,0.1,1.0,0.1
308,17476831,1242132578,0,9.330560820428161,0.2,0.4,0.3,0.1
309,17476831,1242132577,0,96.58094096029988,0.2,0.1,1.0,0.1
310,835468169,17476815,0,31.32308008797845,0.2,0.1,1.0,0.1
311,835468169,11159894542,0,16.22458456229362,0.2,0.4,0.3,0.1
312,835468169,17476811,0,57.97798448297045,0.2,0.1,1.0,0.1
313,1242132603,5061066670,0,21.551383389458266,0.8,0.4,0.3,0.1
314,1242132603,17476811,0,39.24410496984094,0.2,0.4,0.3,0.1
315,1242132603,1242132578,0,60.65329024864202,0.8,0.9,0.1,0.1
316,1242132603,11159894542,0,11.33752695712871,0.8,0.9,0.1,0.1
317,1242132578,17476831,0,9.330560820428161,0.2,0.4,0.3,0.1
318,1242132578,117677937,0,13.82285629861718,0.8,0.4,0.3,0.1
319,1242132578,1242132604,0,7.7594663350592326,0.8,0.9,0.1,0.1
320,1242132578,1242132603,0,60.65329024864203,0.8,0.9,0.1,0.1
321,1242132577,6211451020,0,44.56220771186957,0.2,0.1,1.0,0.2
322,1242132577,17476831,0,96.58094096029987,0.2,0.1,1.0,0.1
323,1242132577,1242132604,0,33.379642659590225,0.2,0.9,0.1,0.3
324,1242132577,3860786634,0,6.70415143943703,0.2,0.9,0.1,0.3
325,17476815,835468169,0,31.32308008797845,0.2,0.1,1.0,0.1
326,17476815,436181749,0,27.024598251812794,0.2,0.1,1.0,0.1
327,17476815,1280674371,0,24.85794736528147,0.2,0.1,1.0,0.1
328,11159894542,835468169,0,16.22458456229362,0.2,0.4,0.3,0.1
329,11159894542,5834330062,0,34.39361426875316,0.8,0.4,0.3,0.1
330,11159894542,1242132603,0,11.33752695712871,0.8,0.9,0.1,0.1
331,11159894542,5834330053,0,60.2493624685363,0.8,0.9,0.1,0.1
332,5061066670,1242132603,0,21.55138338945827,0.8,0.4,0.3,0.1
333,5061066670,262442011,0,71.07511621341844,0.8,0.4,0.3,0.1
334,5061066670,1280674367,0,30.61238762657679,0.8,0.4,0.3,0.1
335,436181749,12613167913,0,5.377758585617883,0.2,0.9,0.1,0.1
336,436181749,17476815,0,27.02459825181279,0.2,0.1,1.0,0.1
337,436181749,17476820,0,100.15888039045336,0.2,0.1,1.0,0.1
338,436181749,3860745715,0,8.63203144902964,0.2,0.9,0.1,0.1
339,1280674371,364165249,0,10.75400618866031,0.2,0.1,1.0,0.1
340,1280674371,17476815,0,24.85794736528147,0.2,0.1,1.0,0.1
341,1280674371,17476875,0,13.947650611331737,0.2,0.9,0.1,0.1
342,1280674371,3860745715,0,11.67772493009105,0.2,0.9,0.1,0.3
343,12613167913,436181749,0,5.377758585617883,0.2,0.9,0.1,0.1
344,17476820,1280656209,0,7.598506945308884,0.2,0.4,0.3,0.1
345,17476820,302794082,0,15.332607043707647,0.2,0.4,0.3,0.1
346,17476820,17476821,0,25.22343509697784,0.2,0.1,1.0,0.1
347,17476820,436181749,0,100.15888039045336,0.2,0.1,1.0,0.1
348,3860745715,436181749,0,8.63203144902964,0.2,0.9,0.1,0.1
349,3860745715,1280674364,0,8.682218908386353,0.2,0.9,0.1,0.1
350,3860745715,1280674371,0,11.677724930091049,0.2,0.9,0.1,0.3
351,364165249,1280674371,0,10.75400618866031,0.2,0.1,1.0,0.1
352,364165249,1280674364,0,8.745284350449689,0.2,0.1,1.0,0.1
353,364165249,2433821534,0,7.278774082951393,0.2,0.1,1.0,0.1
354,364165249,17476875,0,6.710850396727056,0.2,0.1,1.0,0.1
355,17476875,364165249,0,6.710850396727056,0.2,0.1,1.0,0.1
356,17476875,2433821542,0,23.616169363527977,0.2,0.4,0.3,0.1
357,17476875,3860745718,0,5.959412118555461,0.2,0.9,0.1,0.1
358,17476875,1280674371,0,13.947650611331735,0.2,0.9,0.1,0.1
359,1280656209,17476820,0,7.598506945308884,0.2,0.4,0.3,0.1
360,1280656209,1280821651,0,27.540580067335107,0.8,0.4,0.3,0.1
361,1280656209,5834330053,0,106.62374023165506,0.8,0.9,0.1,0.3
362,1280656209,1280821702,0,25.97719033801213,0.8,0.9,0.1,0.3
363,302794082,17476820,0,15.332607043707647,0.2,0.4,0.3,0.1
364,302794082,17476874,0,64.76228913636453,0.2,0.1,1.0,0.1
365,302794082,17476871,0,34.99831829122162,0.2,0.1,1.0,0.1
366,17476821,17476820,0,25.22343509697784,0.2,0.1,1.0,0.1
367,17476821,1280821702,0,6.768847293436016,0.2,0.9,0.1,0.1
368,17476821,17476871,0,23.627404441245982,0.2,0.9,0.1,0.1
369,1280821651,262441816,0,20.972657471500522,0.8,0.4,0.3,0.3
370,1280821651,1280656209,0,27.540580067335107,0.8,0.4,0.3,0.1
371,1280821651,5919438954,0,30.995050950537266,0.8,0.4,0.3,0.3
372,5834330053,5834330054,0,20.864644796902446,0.8,0.9,0.1,0.3
373,5834330053,11159894542,0,60.2493624685363,0.8,0.9,0.1,0.1
374,5834330053,1280656209,0,106.62374023165506,0.8,0.9,0.1,0.3
375,1280821702,1280821720,0,29.46739115270409,0.8,0.9,0.1,0.3
376,1280821702,17476821,0,6.768847293436016,0.2,0.9,0.1,0.1
