u,v,key,osmid,highway,maxspeed,name,oneway,reversed,length,geometry,lit,surface,lanes,ref,service,tunnel,access,bridge,junction
293907316,4795736877,0,193994529,unclassified,20 mph,City Road,False,True,4.002973546472964,"LINESTRING (-2.5884548 51.462815, -2.5885015 51.4627938)",no,asphalt,2,,,,,,
293907316,19875367,0,193994529,unclassified,20 mph,City Road,False,False,116.07255995202004,"LINESTRING (-2.5884548 51.462815, -2.5875474 51.4632256, -2.5870991 51.4634284)",yes,asphalt,2,,,,,,
104812,358460226,0,4013287,unclassified,20 mph,Saint Nicholas Road,False,False,37.356639000736365,"LINESTRING (-2.580726 51.4639673, -2.5803047 51.4637576)",no,asphalt,,,,,,,
104812,462979246,0,4013287,unclassified,20 mph,Saint Nicholas Road,False,True,16.262032346440073,"LINESTRING (-2.580726 51.4639673, -2.5809042 51.4640625)",no,asphalt,,,,,,,
104812,6327939494,0,72343233,residential,20 mph,Halston Drive,False,False,55.49085518510246,"LINESTRING (-2.580726 51.4639673, -2.5808686 51.4638346, -2.5809972 51.4637148, -2.5811616 51.4635486)",no,asphalt,,,,,,,
358460226,104814,0,4013287,unclassified,20 mph,Saint Nicholas Road,False,False,54.81433032611129,"LINESTRING (-2.5803047 51.4637576, -2.5796921 51.4634456)",no,asphalt,,,,,,,
358460226,104812,0,4013287,unclassified,20 mph,Saint Nicholas Road,False,True,37.356639000736365,"LINESTRING (-2.5803047 51.4637576, -2.580726 51.4639673)",no,asphalt,,,,,,,
462979246,104812,0,4013287,unclassified,20 mph,Saint Nicholas Road,False,False,16.262032346440073,"LINESTRING (-2.5809042 51.4640625, -2.580726 51.4639673)",no,asphalt,,,,,,,
462979246,21591973,0,4013287,unclassified,20 mph,Saint Nicholas Road,False,True,54.36514764403247,"LINESTRING (-2.5809042 51.4640625, -2.5815125 51.4643714)",no,asphalt,,,,,,,
462979246,2433742262,0,72343229,footway,,,False,False,41.493795269779206,"LINESTRING (-2.5809042 51.4640625, -2.5813233 51.4637959)",no,asphalt,,,,,,,
6327939494,6327939493,0,675713052,residential,20 mph,Halston Drive,False,False,9.301526846266007,"LINESTRING (-2.5811616 51.4635486, -2.5812571 51.4636074)",no,asphalt,,,,,,,
